;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0171	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,197 :: 		
0x0172	0x2981      	GOTO       JPNRES032
;__Lib_MathDouble.c,198 :: 		
NORM3232:
;__Lib_MathDouble.c,199 :: 		
0x0173	0x0820      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,200 :: 		
0x0174	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,201 :: 		
0x0175	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,202 :: 		
0x0176	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,203 :: 		
0x0177	0x2985      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,204 :: 		
0x0178	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,205 :: 		
NORM3232A:
;__Lib_MathDouble.c,206 :: 		
0x0179	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,207 :: 		
0x017A	0x2989      	GOTO       JMPNFIXSIGN32
;__Lib_MathDouble.c,208 :: 		
0x017B	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,209 :: 		
0x017C	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,210 :: 		
0x017D	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,211 :: 		
0x017E	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,212 :: 		
0x017F	0x2979      	GOTO       NORM3232A
;__Lib_MathDouble.c,213 :: 		
0x0180	0x2985      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,214 :: 		
JPNRES032:
;__Lib_MathDouble.c,215 :: 		
0x0181	0x3001      	MOVLW      1
;__Lib_MathDouble.c,216 :: 		
0x0182	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,218 :: 		
0x0183	0x20EE      	CALL       _RES032
;__Lib_MathDouble.c,220 :: 		
0x0184	0x298C      	GOTO       NORM32EEE
;__Lib_MathDouble.c,221 :: 		
JPNSETFUN32:
;__Lib_MathDouble.c,222 :: 		
0x0185	0x3002      	MOVLW      2
;__Lib_MathDouble.c,223 :: 		
0x0186	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,225 :: 		
0x0187	0x20F9      	CALL       _SETFUN32
;__Lib_MathDouble.c,227 :: 		
0x0188	0x298C      	GOTO       NORM32EEE
;__Lib_MathDouble.c,228 :: 		
JMPNFIXSIGN32:
;__Lib_MathDouble.c,229 :: 		
0x0189	0x3004      	MOVLW      4
;__Lib_MathDouble.c,230 :: 		
0x018A	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,232 :: 		
0x018B	0x20F5      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,234 :: 		
NORM32EEE:
;__Lib_MathDouble.c,236 :: 		
L_end_NRM3232:
0x018C	0x0008      	RETURN
; end of _NRM3232
_SETFDZ32:
;__Lib_MathDouble.c,102 :: 		
;__Lib_MathDouble.c,105 :: 		
0x018D	0x15FB      	BSF        R11, 3
;__Lib_MathDouble.c,106 :: 		
0x018E	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,108 :: 		
L_end_SETFDZ32:
0x018F	0x0008      	RETURN
; end of _SETFDZ32
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x0190	0x29A2      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x0191	0x3080      	MOVLW      128
0x0192	0x1683      	BSF        STATUS, 5
0x0193	0x1303      	BCF        STATUS, 6
0x0194	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x0195	0x29B5      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0196	0x30C0      	MOVLW      192
0x0197	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x0198	0x29B5      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0199	0x3094      	MOVLW      148
0x019A	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x019B	0x29B5      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x019C	0x30D4      	MOVLW      212
0x019D	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x019E	0x29B5      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x019F	0x3080      	MOVLW      128
0x01A0	0x00C8      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x01A1	0x29B5      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x01A2	0x1683      	BSF        STATUS, 5
0x01A3	0x1303      	BCF        STATUS, 6
0x01A4	0x0848      	MOVF       FARG_Lcd_Out_row, 0
0x01A5	0x3A01      	XORLW      1
0x01A6	0x1903      	BTFSC      STATUS, 2
0x01A7	0x2991      	GOTO       L_Lcd_Out13
0x01A8	0x0848      	MOVF       FARG_Lcd_Out_row, 0
0x01A9	0x3A02      	XORLW      2
0x01AA	0x1903      	BTFSC      STATUS, 2
0x01AB	0x2996      	GOTO       L_Lcd_Out14
0x01AC	0x0848      	MOVF       FARG_Lcd_Out_row, 0
0x01AD	0x3A03      	XORLW      3
0x01AE	0x1903      	BTFSC      STATUS, 2
0x01AF	0x2999      	GOTO       L_Lcd_Out15
0x01B0	0x0848      	MOVF       FARG_Lcd_Out_row, 0
0x01B1	0x3A04      	XORLW      4
0x01B2	0x1903      	BTFSC      STATUS, 2
0x01B3	0x299C      	GOTO       L_Lcd_Out16
0x01B4	0x299F      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x01B5	0x0349      	DECF       FARG_Lcd_Out_column, 0
0x01B6	0x00F0      	MOVWF      R0
0x01B7	0x0848      	MOVF       FARG_Lcd_Out_row, 0
0x01B8	0x07F0      	ADDWF      R0, 1
0x01B9	0x0870      	MOVF       R0, 0
0x01BA	0x00C8      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x01BB	0x0870      	MOVF       R0, 0
0x01BC	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x01BD	0x2090      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x01BE	0x1683      	BSF        STATUS, 5
0x01BF	0x103C      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x01C0	0x01CB      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x01C1	0x084B      	MOVF       Lcd_Out_i_L0, 0
0x01C2	0x074A      	ADDWF      FARG_Lcd_Out_text, 0
0x01C3	0x0084      	MOVWF      FSR
0x01C4	0x0800      	MOVF       INDF, 0
0x01C5	0x1903      	BTFSC      STATUS, 2
0x01C6	0x29CF      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x01C7	0x084B      	MOVF       Lcd_Out_i_L0, 0
0x01C8	0x074A      	ADDWF      FARG_Lcd_Out_text, 0
0x01C9	0x0084      	MOVWF      FSR
0x01CA	0x0800      	MOVF       INDF, 0
0x01CB	0x00CC      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x01CC	0x2121      	CALL       _Lcd_Chr_CP
0x01CD	0x0ACB      	INCF       Lcd_Out_i_L0, 1
0x01CE	0x29C1      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x01CF	0x143C      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x01D0	0x0008      	RETURN
; end of _Lcd_Out
_Div_32x32_FP:
;__Lib_MathDouble.c,761 :: 		
;__Lib_MathDouble.c,773 :: 		
;__Lib_MathDouble.c,776 :: 		
0x01D1	0x1283      	BCF        STATUS, 5
0x01D2	0x1303      	BCF        STATUS, 6
0x01D3	0x0874      	MOVF       R4, 0
0x01D4	0x3A00      	XORLW      0
0x01D5	0x1D03      	BTFSS      STATUS, 2
0x01D6	0x29EC      	GOTO       L_Div_32x32_FP7
;__Lib_MathDouble.c,777 :: 		
0x01D7	0x0875      	MOVF       R5, 0
0x01D8	0x3A00      	XORLW      0
0x01D9	0x1D03      	BTFSS      STATUS, 2
0x01DA	0x29EC      	GOTO       L_Div_32x32_FP8
;__Lib_MathDouble.c,778 :: 		
0x01DB	0x0876      	MOVF       R6, 0
0x01DC	0x3A00      	XORLW      0
0x01DD	0x1D03      	BTFSS      STATUS, 2
0x01DE	0x29EC      	GOTO       L_Div_32x32_FP9
;__Lib_MathDouble.c,779 :: 		
0x01DF	0x0877      	MOVF       R7, 0
0x01E0	0x3A00      	XORLW      0
0x01E1	0x1D03      	BTFSS      STATUS, 2
0x01E2	0x29EC      	GOTO       L_Div_32x32_FP10
;__Lib_MathDouble.c,780 :: 		
0x01E3	0x30FF      	MOVLW      255
0x01E4	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,781 :: 		
0x01E5	0x30FF      	MOVLW      255
0x01E6	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,782 :: 		
0x01E7	0x307F      	MOVLW      127
0x01E8	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,783 :: 		
0x01E9	0x30FF      	MOVLW      255
0x01EA	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,784 :: 		
0x01EB	0x2A87      	GOTO       L_end_Div_32x32_FP
;__Lib_MathDouble.c,785 :: 		
L_Div_32x32_FP10:
L_Div_32x32_FP9:
L_Div_32x32_FP8:
L_Div_32x32_FP7:
;__Lib_MathDouble.c,788 :: 		
0x01EC	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,789 :: 		
0x01ED	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,791 :: 		
0x01EE	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,792 :: 		
0x01EF	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,793 :: 		
0x01F0	0x2A7B      	GOTO       JPDSETFDZ32
;__Lib_MathDouble.c,795 :: 		
0x01F1	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,796 :: 		
0x01F2	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,797 :: 		
0x01F3	0x2A7E      	GOTO       JPDRES032
;__Lib_MathDouble.c,799 :: 		
0x01F4	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,800 :: 		
0x01F5	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,801 :: 		
0x01F6	0x3980      	ANDLW      128
;__Lib_MathDouble.c,802 :: 		
0x01F7	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,803 :: 		
0x01F8	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,804 :: 		
0x01F9	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,806 :: 		
0x01FA	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,807 :: 		
0x01FB	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,808 :: 		
0x01FC	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,809 :: 		
0x01FD	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,810 :: 		
0x01FE	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,811 :: 		
0x01FF	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,812 :: 		
0x0200	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,814 :: 		
0x0201	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,815 :: 		
0x0202	0x02FD      	SUBWF      R13, 1
;__Lib_MathDouble.c,816 :: 		
0x0203	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,817 :: 		
0x0204	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,818 :: 		
0x0205	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,820 :: 		
0x0206	0x02FC      	SUBWF      R12, 1
;__Lib_MathDouble.c,821 :: 		
0x0207	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,822 :: 		
0x0208	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,823 :: 		
0x0209	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,825 :: 		
0x020A	0x02F8      	SUBWF      R8, 1
;__Lib_MathDouble.c,826 :: 		
0x020B	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,827 :: 		
0x020C	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,828 :: 		
0x020D	0x01FD      	CLRF       R13
;__Lib_MathDouble.c,829 :: 		
0x020E	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,830 :: 		
0x020F	0x2A17      	GOTO       DALIGN32OK
;__Lib_MathDouble.c,832 :: 		
0x0210	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,833 :: 		
0x0211	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,834 :: 		
0x0212	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,835 :: 		
0x0213	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,836 :: 		
0x0214	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,837 :: 		
0x0215	0x3001      	MOVLW      1
;__Lib_MathDouble.c,838 :: 		
0x0216	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,839 :: 		
DALIGN32OK:
;__Lib_MathDouble.c,840 :: 		
0x0217	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,841 :: 		
0x0218	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,842 :: 		
0x0219	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,843 :: 		
0x021A	0x2A21      	GOTO       ALTB32
;__Lib_MathDouble.c,845 :: 		
0x021B	0x307E      	MOVLW      126
;__Lib_MathDouble.c,846 :: 		
0x021C	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,847 :: 		
0x021D	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,848 :: 		
0x021E	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,849 :: 		
0x021F	0x2A81      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,850 :: 		
0x0220	0x2A26      	GOTO       DARGOK32
;__Lib_MathDouble.c,851 :: 		
ALTB32:
;__Lib_MathDouble.c,852 :: 		
0x0221	0x307E      	MOVLW      126
;__Lib_MathDouble.c,853 :: 		
0x0222	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,854 :: 		
0x0223	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,855 :: 		
0x0224	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,856 :: 		
0x0225	0x2A84      	GOTO       JPDSETFUN32
;__Lib_MathDouble.c,857 :: 		
DARGOK32:
;__Lib_MathDouble.c,858 :: 		
0x0226	0x3018      	MOVLW      24
;__Lib_MathDouble.c,860 :: 		
0x0227	0x07FA      	ADDWF      R10, 1
;__Lib_MathDouble.c,861 :: 		
DLOOP32:
;__Lib_MathDouble.c,862 :: 		
0x0228	0x0DFD      	RLF        R13, 1
;__Lib_MathDouble.c,863 :: 		
0x0229	0x0DFC      	RLF        R12, 1
;__Lib_MathDouble.c,864 :: 		
0x022A	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,865 :: 		
0x022B	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,866 :: 		
0x022C	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,867 :: 		
0x022D	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,868 :: 		
0x022E	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,870 :: 		
0x022F	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,871 :: 		
0x0230	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,872 :: 		
0x0231	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,873 :: 		
0x0232	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,874 :: 		
0x0233	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,876 :: 		
0x0234	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,877 :: 		
0x0235	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,878 :: 		
0x0236	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,879 :: 		
0x0237	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,881 :: 		
0x0238	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,882 :: 		
0x0239	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,883 :: 		
0x023A	0x04A0      	IORWF      __math_tempbD, 1
;__Lib_MathDouble.c,884 :: 		
0x023B	0x1C20      	BTFSS      __math_tempbD, 0
;__Lib_MathDouble.c,885 :: 		
0x023C	0x2A3F      	GOTO       DREST32
;__Lib_MathDouble.c,886 :: 		
0x023D	0x147D      	BSF        R13, 0
;__Lib_MathDouble.c,887 :: 		
0x023E	0x2A4A      	GOTO       DOK32
;__Lib_MathDouble.c,888 :: 		
DREST32:
;__Lib_MathDouble.c,889 :: 		
0x023F	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,890 :: 		
0x0240	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,891 :: 		
0x0241	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,892 :: 		
0x0242	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,893 :: 		
0x0243	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,895 :: 		
0x0244	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,896 :: 		
0x0245	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,897 :: 		
0x0246	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,898 :: 		
0x0247	0x0A76      	INCF       R6, 0
;__Lib_MathDouble.c,899 :: 		
0x0248	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,900 :: 		
0x0249	0x107D      	BCF        R13, 0
;__Lib_MathDouble.c,901 :: 		
DOK32:
;__Lib_MathDouble.c,903 :: 		
0x024A	0x03FA      	DECF       R10, 1
;__Lib_MathDouble.c,904 :: 		
0x024B	0x301F      	MOVLW      31
;__Lib_MathDouble.c,905 :: 		
0x024C	0x057A      	ANDWF      R10, 0
;__Lib_MathDouble.c,906 :: 		
0x024D	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,907 :: 		
0x024E	0x2A28      	GOTO       DLOOP32
;__Lib_MathDouble.c,909 :: 		
0x024F	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,910 :: 		
0x0250	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,911 :: 		
0x0251	0x2A71      	GOTO       DIV32OK
;__Lib_MathDouble.c,912 :: 		
0x0252	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,913 :: 		
0x0253	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,914 :: 		
0x0254	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,915 :: 		
0x0255	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,916 :: 		
0x0256	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,918 :: 		
0x0257	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,919 :: 		
0x0258	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,920 :: 		
0x0259	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,921 :: 		
0x025A	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,922 :: 		
0x025B	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,923 :: 		
0x025C	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,924 :: 		
0x025D	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,925 :: 		
0x025E	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,926 :: 		
0x025F	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,927 :: 		
0x0260	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,928 :: 		
0x0261	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,929 :: 		
0x0262	0x0420      	IORWF      __math_tempbD, 0
;__Lib_MathDouble.c,930 :: 		
0x0263	0x3901      	ANDLW      1
;__Lib_MathDouble.c,931 :: 		
0x0264	0x07FD      	ADDWF      R13, 1
;__Lib_MathDouble.c,932 :: 		
0x0265	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,933 :: 		
0x0266	0x0AFC      	INCF       R12, 1
;__Lib_MathDouble.c,934 :: 		
0x0267	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,935 :: 		
0x0268	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,936 :: 		
0x0269	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,937 :: 		
0x026A	0x2A71      	GOTO       DIV32OK
;__Lib_MathDouble.c,938 :: 		
0x026B	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,939 :: 		
0x026C	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,940 :: 		
0x026D	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,941 :: 		
0x026E	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,942 :: 		
0x026F	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,943 :: 		
0x0270	0x2A81      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,944 :: 		
DIV32OK:
;__Lib_MathDouble.c,945 :: 		
0x0271	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,946 :: 		
0x0272	0x13F8      	BCF        R8, 7
;__Lib_MathDouble.c,947 :: 		
0x0273	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,948 :: 		
0x0274	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,949 :: 		
0x0275	0x087C      	MOVF       R12, 0
;__Lib_MathDouble.c,950 :: 		
0x0276	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,951 :: 		
0x0277	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,952 :: 		
0x0278	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,954 :: 		
0x0279	0x3000      	MOVLW      0
;__Lib_MathDouble.c,956 :: 		
0x027A	0x2A86      	GOTO       DIV32EEE
;__Lib_MathDouble.c,957 :: 		
JPDSETFDZ32:
;__Lib_MathDouble.c,958 :: 		
0x027B	0x3001      	MOVLW      1
;__Lib_MathDouble.c,961 :: 		
0x027C	0x218D      	CALL       _SETFDZ32
;__Lib_MathDouble.c,963 :: 		
0x027D	0x2A86      	GOTO       DIV32EEE
;__Lib_MathDouble.c,964 :: 		
JPDRES032:
;__Lib_MathDouble.c,965 :: 		
0x027E	0x3002      	MOVLW      2
;__Lib_MathDouble.c,968 :: 		
0x027F	0x20EE      	CALL       _RES032
;__Lib_MathDouble.c,970 :: 		
0x0280	0x2A86      	GOTO       DIV32EEE
;__Lib_MathDouble.c,971 :: 		
JPDSETFOV32:
;__Lib_MathDouble.c,972 :: 		
0x0281	0x3004      	MOVLW      4
;__Lib_MathDouble.c,975 :: 		
0x0282	0x2152      	CALL       _SETFOV32
;__Lib_MathDouble.c,977 :: 		
0x0283	0x2A86      	GOTO       DIV32EEE
;__Lib_MathDouble.c,978 :: 		
JPDSETFUN32:
;__Lib_MathDouble.c,979 :: 		
0x0284	0x3008      	MOVLW      8
;__Lib_MathDouble.c,982 :: 		
0x0285	0x20F9      	CALL       _SETFUN32
;__Lib_MathDouble.c,984 :: 		
DIV32EEE:
;__Lib_MathDouble.c,985 :: 		
0x0286	0x0000      	NOP
;__Lib_MathDouble.c,994 :: 		
L_end_Div_32x32_FP:
0x0287	0x0008      	RETURN
; end of _Div_32x32_FP
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0288	0x1283      	BCF        STATUS, 5
0x0289	0x1303      	BCF        STATUS, 6
0x028A	0x086D      	MOVF       ___DoICPAddr+1, 0
0x028B	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x028C	0x086C      	MOVF       ___DoICPAddr, 0
0x028D	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x028E	0x0008      	RETURN
; end of _____DoICP
_CCPPWM_init:
;MyProject.c,155 :: 		void CCPPWM_init() { //Configure CCP1 at 2ms period with 50% duty cycle
;MyProject.c,156 :: 		T2CON = 0b00000111;//enable Timer2 at Fosc/4 with 1:16 prescaler (8 uS percount 2000uS to count 250 counts)
0x028F	0x3007      	MOVLW      7
0x0290	0x1283      	BCF        STATUS, 5
0x0291	0x1303      	BCF        STATUS, 6
0x0292	0x0092      	MOVWF      T2CON
;MyProject.c,157 :: 		CCP1CON = 0x0C;//enable PWM for CCP1
0x0293	0x300C      	MOVLW      12
0x0294	0x0097      	MOVWF      CCP1CON
;MyProject.c,158 :: 		PR2 = 250;// 250 counts =8uS *250 =2ms period
0x0295	0x30FA      	MOVLW      250
0x0296	0x1683      	BSF        STATUS, 5
0x0297	0x0092      	MOVWF      PR2
;MyProject.c,159 :: 		CCPR1L = 0;
0x0298	0x1283      	BCF        STATUS, 5
0x0299	0x0195      	CLRF       CCPR1L
;MyProject.c,160 :: 		}void MotorSpeed(unsigned int speed) {
L_end_CCPPWM_init:
0x029A	0x0008      	RETURN
; end of _CCPPWM_init
_Div_16X16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x029B	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x029C	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x029D	0x01F8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x029E	0x01F9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x029F	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x02A0	0x00FC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x02A1	0x0D71      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x02A2	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x02A3	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x02A4	0x0874      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x02A5	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x02A6	0x0875      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x02A7	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x02A8	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x02A9	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x02AA	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x02AB	0x2AB3      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x02AC	0x0874      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x02AD	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x02AE	0x0875      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x02AF	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
